TITLE="plot"
VARIABLES="x", "y", "z"
ZONE T="f", I=100, J=100, F=POINT
4.59149e-41 0.00282288 0.159154
0.0628319 0.00282288 0.15884
0.125664 0.00282288 0.157903
0.188496 0.00282288 0.156352
0.251327 0.00282288 0.154206
0.314159 0.00282288 0.151491
0.376991 0.00282288 0.148237
0.439823 0.00282288 0.144482
0.502655 0.00282288 0.140266
0.565487 0.00282288 0.135638
0.628319 0.00282288 0.130645
0.69115 0.00282288 0.12534
0.753982 0.00282288 0.119777
0.816814 0.00282288 0.114009
0.879646 0.00282288 0.108092
0.942478 0.00282288 0.102078
1.00531 0.00282288 0.0960194
1.06814 0.00282288 0.0899641
1.13097 0.00282288 0.0839586
1.19381 0.00282288 0.0780452
1.25664 0.00282288 0.0722625
1.31947 0.00282288 0.0666446
1.3823 0.00282288 0.0612214
1.44513 0.00282288 0.0560178
1.50796 0.00282288 0.0510546
1.5708 0.00282288 0.0463478
1.63363 0.00282288 0.0419091
1.69646 0.00282288 0.0377462
1.75929 0.00282288 0.0338629
1.82212 0.00282288 0.0302594
1.88496 0.00282288 0.0269328
1.94779 0.00282288 0.0238775
2.01062 0.00282288 0.0210853
2.07345 0.00282288 0.0185464
2.13628 0.00282288 0.0162488
2.19912 0.00282288 0.0141798
2.26195 0.00282288 0.0123255
2.32478 0.00282288 0.0106715
2.38761 0.00282288 0.00920301
2.45044 0.00282288 0.00790534
2.51327 0.00282288 0.00676389
2.57611 0.00282288 0.00576446
2.63894 0.00282288 0.00489334
2.70177 0.00282288 0.0041375
2.7646 0.00282288 0.00348463
2.82743 0.00282288 0.00292321
2.89027 0.00282288 0.00244258
2.9531 0.00282288 0.00203293
3.01593 0.00282288 0.00168532
3.07876 0.00282288 0.00139165
3.14159 0.00282288 0.00114462
3.20443 0.00282288 0.000937726
3.26726 0.00282288 0.000765205
3.33009 0.00282288 0.000621964
3.39292 0.00282288 0.000503545
3.45575 0.00282288 0.000406066
3.51858 0.00282288 0.000326167
3.58142 0.00282288 0.000260957
3.64425 0.00282288 0.000207962
3.70708 0.00282288 0.000165076
3.76991 0.00282288 0.000130518
3.83274 0.00282288 0.000102788
3.89558 0.00282288 8.06301e-05
3.95841 0.00282288 6.29998e-05
4.02124 0.00282288 4.90306e-05
4.08407 0.00282288 3.80085e-05
4.1469 0.00282288 2.9348e-05
4.20974 0.00282288 2.25716e-05
4.27257 0.00282288 1.72915e-05
4.3354 0.00282288 1.31943e-05
4.39823 0.00282288 1.00283e-05
4.46106 0.00282288 7.59195e-06
4.52389 0.00282288 5.72486e-06
4.58673 0.00282288 4.29993e-06
4.64956 0.00282288 3.21694e-06
4.71239 0.00282288 2.39724e-06
4.77522 0.00282288 1.77936e-06
4.83805 0.00282288 1.31554e-06
4.90089 0.00282288 9.68785e-07
4.96372 0.00282288 7.10619e-07
5.02655 0.00282288 5.19197e-07
5.08938 0.00282288 3.77844e-07
5.15221 0.00282288 2.73892e-07
5.21505 0.00282288 1.97756e-07
5.27788 0.00282288 1.42222e-07
5.34071 0.00282288 1.0188e-07
5.40354 0.00282288 7.26939e-08
5.46637 0.00282288 5.16644e-08
5.5292 0.00282288 3.65738e-08
5.59204 0.00282288 2.5789e-08
5.65487 0.00282288 1.81127e-08
5.7177 0.00282288 1.26712e-08
5.78053 0.00282288 8.82958e-09
5.84336 0.00282288 6.12839e-09
5.9062 0.00282288 4.2368e-09
5.96903 0.00282288 2.91753e-09
6.03186 0.00282288 2.00114e-09
6.09469 0.00282288 1.36718e-09
6.15752 0.00282288 9.30379e-10
6.22036 0.00282288 6.30636e-10
0 0.0656547 0.158812
0.0628319 0.0656547 0.158499
0.125664 0.0656547 0.157563
0.188496 0.0656547 0.156016
0.251327 0.0656547 0.153875
0.314159 0.0656547 0.151165
0.376991 0.0656547 0.147919
0.439823 0.0656547 0.144171
0.502655 0.0656547 0.139965
0.565487 0.0656547 0.135346
0.628319 0.0656547 0.130364
0.69115 0.0656547 0.125071
0.753982 0.0656547 0.119519
0.816814 0.0656547 0.113764
0.879646 0.0656547 0.10786
0.942478 0.0656547 0.101859
1.00531 0.0656547 0.0958131
1.06814 0.0656547 0.0897708
1.13097 0.0656547 0.0837782
1.19381 0.0656547 0.0778775
1.25664 0.0656547 0.0721072
1.31947 0.0656547 0.0665014
1.3823 0.0656547 0.0610898
1.44513 0.0656547 0.0558974
1.50796 0.0656547 0.0509449
1.5708 0.0656547 0.0462482
1.63363 0.0656547 0.041819
1.69646 0.0656547 0.0376651
1.75929 0.0656547 0.0337901
1.82212 0.0656547 0.0301943
1.88496 0.0656547 0.0268749
1.94779 0.0656547 0.0238262
2.01062 0.0656547 0.02104
2.07345 0.0656547 0.0185065
2.13628 0.0656547 0.0162139
2.19912 0.0656547 0.0141493
2.26195 0.0656547 0.012299
2.32478 0.0656547 0.0106485
2.38761 0.0656547 0.00918323
2.45044 0.0656547 0.00788835
2.51327 0.0656547 0.00674936
2.57611 0.0656547 0.00575207
2.63894 0.0656547 0.00488283
2.70177 0.0656547 0.00412861
2.7646 0.0656547 0.00347714
2.82743 0.0656547 0.00291693
2.89027 0.0656547 0.00243733
2.9531 0.0656547 0.00202857
3.01593 0.0656547 0.0016817
3.07876 0.0656547 0.00138866
3.14159 0.0656547 0.00114216
3.20443 0.0656547 0.000935711
3.26726 0.0656547 0.00076356
3.33009 0.0656547 0.000620627
3.39292 0.0656547 0.000502462
3.45575 0.0656547 0.000405193
3.51858 0.0656547 0.000325466
3.58142 0.0656547 0.000260396
3.64425 0.0656547 0.000207515
3.70708 0.0656547 0.000164721
3.76991 0.0656547 0.000130237
3.83274 0.0656547 0.000102567
3.89558 0.0656547 8.04569e-05
3.95841 0.0656547 6.28644e-05
4.02124 0.0656547 4.89252e-05
4.08407 0.0656547 3.79268e-05
4.1469 0.0656547 2.9285e-05
4.20974 0.0656547 2.25231e-05
4.27257 0.0656547 1.72543e-05
4.3354 0.0656547 1.3166e-05
4.39823 0.0656547 1.00068e-05
4.46106 0.0656547 7.57563e-06
4.52389 0.0656547 5.71255e-06
4.58673 0.0656547 4.29069e-06
4.64956 0.0656547 3.21003e-06
4.71239 0.0656547 2.39209e-06
4.77522 0.0656547 1.77554e-06
4.83805 0.0656547 1.31271e-06
4.90089 0.0656547 9.66703e-07
4.96372 0.0656547 7.09092e-07
5.02655 0.0656547 5.18081e-07
5.08938 0.0656547 3.77032e-07
5.15221 0.0656547 2.73303e-07
5.21505 0.0656547 1.97331e-07
5.27788 0.0656547 1.41916e-07
5.34071 0.0656547 1.01661e-07
5.40354 0.0656547 7.25376e-08
5.46637 0.0656547 5.15533e-08
5.5292 0.0656547 3.64952e-08
5.59204 0.0656547 2.57336e-08
5.65487 0.0656547 1.80738e-08
5.7177 0.0656547 1.2644e-08
5.78053 0.0656547 8.81061e-09
5.84336 0.0656547 6.11522e-09
5.9062 0.0656547 4.2277e-09
5.96903 0.0656547 2.91126e-09
6.03186 0.0656547 1.99684e-09
6.09469 0.0656547 1.36424e-09
6.15752 0.0656547 9.28379e-10
6.22036 0.0656547 6.29281e-10
