TITLE="sin"
VARIABLES="x", "y"
ZONE T="sin(x)", I=100, F=POINT
0 0
0.0628319 0.0627905
0.125664 0.125333
0.188496 0.187381
0.251327 0.24869
0.314159 0.309017
0.376991 0.368125
0.439823 0.425779
0.502655 0.481754
0.565487 0.535827
0.628319 0.587785
0.69115 0.637424
0.753982 0.684547
0.816814 0.728969
0.879646 0.770513
0.942478 0.809017
1.00531 0.844328
1.06814 0.876307
1.13097 0.904827
1.19381 0.929777
1.25664 0.951057
1.31947 0.968583
1.3823 0.982287
1.44513 0.992115
1.50796 0.998027
1.5708 1
1.63363 0.998027
1.69646 0.992115
1.75929 0.982287
1.82212 0.968583
1.88496 0.951056
1.94779 0.929776
2.01062 0.904827
2.07345 0.876306
2.13628 0.844328
2.19912 0.809017
2.26195 0.770513
2.32478 0.728968
2.38761 0.684547
2.45044 0.637423
2.51327 0.587785
2.57611 0.535826
2.63894 0.481753
2.70177 0.425779
2.7646 0.368124
2.82743 0.309016
2.89027 0.248689
2.9531 0.18738
3.01593 0.125332
3.07876 0.0627895
3.14159 -1.0411e-06
3.20443 -0.0627916
3.26726 -0.125334
3.33009 -0.187382
3.39292 -0.248691
3.45575 -0.309018
3.51858 -0.368126
3.58142 -0.42578
3.64425 -0.481755
3.70708 -0.535828
3.76991 -0.587786
3.83274 -0.637425
3.89558 -0.684548
3.95841 -0.72897
4.02124 -0.770514
4.08407 -0.809018
4.1469 -0.844329
4.20974 -0.876307
4.27257 -0.904828
4.3354 -0.929777
4.39823 -0.951057
4.46106 -0.968584
4.52389 -0.982288
4.58673 -0.992115
4.64956 -0.998027
4.71239 -1
4.77522 -0.998027
4.83805 -0.992115
4.90089 -0.982287
4.96372 -0.968583
5.02655 -0.951056
5.08938 -0.929776
5.15221 -0.904826
5.21505 -0.876306
5.27788 -0.844327
5.34071 -0.809016
5.40354 -0.770512
5.46637 -0.728967
5.5292 -0.684546
5.59204 -0.637423
5.65487 -0.587784
5.7177 -0.535825
5.78053 -0.481752
5.84336 -0.425778
5.9062 -0.368123
5.96903 -0.309015
6.03186 -0.248688
6.09469 -0.187379
6.15752 -0.125331
6.22036 -0.0627885
