TITLE="sinsin"
VARIABLES="x", "y", "z"
ZONE T="sin(x)sin(y)", I=100, J=100, F=POINT
2.76935e-29 4.59135e-41 0
0.0628319 4.59135e-41 2.88247e-42
0.125664 4.59135e-41 5.75513e-42
0.188496 4.59135e-41 8.60397e-42
0.251327 4.59135e-41 1.14178e-41
0.314159 4.59135e-41 1.41881e-41
0.376991 4.59135e-41 1.69025e-41
0.439823 4.59135e-41 1.95495e-41
0.502655 4.59135e-41 2.21195e-41
0.565487 4.59135e-41 2.46012e-41
0.628319 4.59135e-41 2.69876e-41
0.69115 4.59135e-41 2.92661e-41
0.753982 4.59135e-41 3.14297e-41
0.816814 4.59135e-41 3.347e-41
0.879646 4.59135e-41 3.53772e-41
0.942478 4.59135e-41 3.71442e-41
1.00531 4.59135e-41 3.87655e-41
1.06814 4.59135e-41 4.02341e-41
1.13097 4.59135e-41 4.15443e-41
1.19381 4.59135e-41 4.26892e-41
1.25664 4.59135e-41 4.36659e-41
1.31947 4.59135e-41 4.44716e-41
1.3823 4.59135e-41 4.51008e-41
1.44513 4.59135e-41 4.5552e-41
1.50796 4.59135e-41 4.58225e-41
1.5708 4.59135e-41 4.59135e-41
1.63363 4.59135e-41 4.58225e-41
1.69646 4.59135e-41 4.5552e-41
1.75929 4.59135e-41 4.51008e-41
1.82212 4.59135e-41 4.44716e-41
1.88496 4.59135e-41 4.36659e-41
1.94779 4.59135e-41 4.26892e-41
2.01062 4.59135e-41 4.15443e-41
2.07345 4.59135e-41 4.02341e-41
2.13628 4.59135e-41 3.87655e-41
2.19912 4.59135e-41 3.71442e-41
2.26195 4.59135e-41 3.53772e-41
2.32478 4.59135e-41 3.347e-41
2.38761 4.59135e-41 3.14297e-41
2.45044 4.59135e-41 2.92661e-41
2.51327 4.59135e-41 2.69876e-41
2.57611 4.59135e-41 2.46012e-41
2.63894 4.59135e-41 2.21195e-41
2.70177 4.59135e-41 1.95495e-41
2.7646 4.59135e-41 1.69025e-41
2.82743 4.59135e-41 1.41881e-41
2.89027 4.59135e-41 1.14178e-41
2.9531 4.59135e-41 8.60397e-42
3.01593 4.59135e-41 5.75513e-42
3.07876 4.59135e-41 2.88247e-42
3.14159 4.59135e-41 -0
3.20443 4.59135e-41 -2.88247e-42
3.26726 4.59135e-41 -5.75513e-42
3.33009 4.59135e-41 -8.60397e-42
3.39292 4.59135e-41 -1.14178e-41
3.45575 4.59135e-41 -1.41881e-41
3.51858 4.59135e-41 -1.69025e-41
3.58142 4.59135e-41 -1.95495e-41
3.64425 4.59135e-41 -2.21195e-41
3.70708 4.59135e-41 -2.46012e-41
3.76991 4.59135e-41 -2.69876e-41
3.83274 4.59135e-41 -2.92661e-41
3.89558 4.59135e-41 -3.14297e-41
3.95841 4.59135e-41 -3.347e-41
4.02124 4.59135e-41 -3.53772e-41
4.08407 4.59135e-41 -3.71442e-41
4.1469 4.59135e-41 -3.87655e-41
4.20974 4.59135e-41 -4.02341e-41
4.27257 4.59135e-41 -4.15443e-41
4.3354 4.59135e-41 -4.26892e-41
4.39823 4.59135e-41 -4.36659e-41
4.46106 4.59135e-41 -4.44716e-41
4.52389 4.59135e-41 -4.51008e-41
4.58673 4.59135e-41 -4.5552e-41
4.64956 4.59135e-41 -4.58225e-41
4.71239 4.59135e-41 -4.59135e-41
4.77522 4.59135e-41 -4.58225e-41
4.83805 4.59135e-41 -4.5552e-41
4.90089 4.59135e-41 -4.51008e-41
4.96372 4.59135e-41 -4.44716e-41
5.02655 4.59135e-41 -4.36659e-41
5.08938 4.59135e-41 -4.26892e-41
5.15221 4.59135e-41 -4.15443e-41
5.21505 4.59135e-41 -4.02341e-41
5.27788 4.59135e-41 -3.87655e-41
5.34071 4.59135e-41 -3.71442e-41
5.40354 4.59135e-41 -3.53772e-41
5.46637 4.59135e-41 -3.347e-41
5.5292 4.59135e-41 -3.14297e-41
5.59204 4.59135e-41 -2.92661e-41
